name,eng_position,DIVISION,attack_percentage,block_total,serve_percentage,receive_percentage,dig_percentage,set_percentage,total_point_score,national_team
蔡幼群,Outside Hitter,Womens Division,0.3483,60.0,0.0527,0.4318,0.2551,0.0,1107.0,1
胡曉佩,Middle Blocker,Womens Division,0.3741,141.0,0.0646,0.3168,0.204,0.0323,641.0,1
陳莉鎔,Setter,Womens Division,0.3707,16.0,0.0317,,0.2393,0.2782,70.0,0
林靖儀,Setter,Womens Division,,0.0,,,,0.0,0.0,1
詹佳茵,Outside Hitter,Womens Division,,0.0,,0.3785,0.2455,0.0952,0.0,0
陳昱碩,Outside Hitter,Mens Division,,0.0,0.0,0.5143,0.2365,0.0,0.0,0
蘇逢澤,Libero,Mens Division,1.0,0.0,,0.5913,0.3443,0.0,1.0,1
莊岳祥,Opposite Hitter,Mens Division,0.2593,0.0,0.0,,0.0,,7.0,0
許睿恩,Middle Blocker,Mens Division,0.4439,126.0,0.0209,0.3095,0.1073,0.0,342.0,0
甘茂宏,Middle Blocker,Mens Division,0.5009,159.0,0.0384,0.2857,0.0943,,458.0,0
林錦龍,Opposite Hitter,Mens Division,0.4576,108.0,0.0552,0.2273,0.1302,,785.0,1
陳裕仁,Setter,Mens Division,0.4746,19.0,0.0161,0.0,0.1095,0.3412,52.0,0
簡偉倫,Libero,Mens Division,,0.0,,0.439,0.2495,0.0,0.0,1
施宗諭,Middle Blocker,Mens Division,0.5449,38.0,0.0202,0.0769,0.0851,,144.0,0
李修瑜,Outside Hitter,Mens Division,,0.0,0.0,0.5,0.0,,0.0,0
陳朝璽,Setter,Mens Division,0.3425,23.0,0.0355,0.0,0.1403,0.2127,62.0,0
廖閎昇,Middle Blocker,Mens Division,0.408,89.0,0.0267,0.2813,0.1212,0.0,255.0,0
林聖恩,Outside Hitter,Mens Division,0.4286,42.0,0.0497,0.4443,0.1886,0.0,618.0,0
雷諾,Outside Hitter,Mens Division,0.4332,91.0,0.0306,0.3573,0.1245,0.0,951.0,1
吳沛緹,Outside Hitter,Womens Division,0.2396,8.0,0.0243,0.3242,0.2227,0.0,211.0,0
鄭伊伶,Outside Hitter,Womens Division,0.269,15.0,0.0395,0.2861,0.1133,0.0,113.0,0
黃珮甄,Opposite Hitter,Womens Division,0.2584,5.0,0.0328,0.2281,0.11,,101.0,0
洪家瑤,Setter,Womens Division,0.375,54.0,0.0463,0.0,0.1341,0.2487,119.0,1
洪詩涵,Opposite Hitter,Womens Division,0.3361,29.0,0.0541,0.3509,0.1496,0.0,415.0,1
江昀庭,Libero,Womens Division,0.1714,1.0,0.0667,0.426,0.3013,0.0,8.0,0
廖嘉安,Middle Blocker,Womens Division,0.3189,28.0,0.0342,0.1667,0.0922,0.0,183.0,1
