,name,division,position,probability
18,黃世豪,Mens Division,Outside Hitter,0.79
71,温逸凱,Mens Division,Outside Hitter,0.64
11,張善源,Mens Division,Outside Hitter,0.63
47,甘明修,Mens Division,Outside Hitter,0.58
94,劉昱麟,Mens Division,Outside Hitter,0.58
28,潘均儒,Mens Division,Opposite Hitter,0.57
114,施琅,Mens Division,Outside Hitter,0.57
26,陳保宏,Mens Division,Outside Hitter,0.56
64,曾茂聰,Mens Division,Opposite Hitter,0.54
2,潘柏鈜,Mens Division,Outside Hitter,0.52
